OBJECTID,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID,ratio_hospitalizados_fallecidos,ratio_recuperados_aislados,ratio_hospitalizados_recuperados,DISTANCIA_CANTIDAD,PROVINCIA_BOCAS DEL TORO,DISTRITO_ALMIRANTE ,DISTRITO_BOCAS DEL TORO,DISTRITO_CHANGUINOLA,DISTRITO_CHIRIQUÍ GRANDE,CORREGIMIENTO_ALMIRANTE,CORREGIMIENTO_BAJO CEDRO,CORREGIMIENTO_BARRIADA 4 DE ABRIL,CORREGIMIENTO_BARRIADA GUAYMI,CORREGIMIENTO_BARRIO FRANCES,CORREGIMIENTO_BASTIMENTOS,CORREGIMIENTO_BOCAS DEL TORO (CABECERA),CORREGIMIENTO_CAUCHERO,CORREGIMIENTO_CHANGUINOLA (CABECERA),CORREGIMIENTO_CHIRIQUI GRANDE (CABECERA),CORREGIMIENTO_COCHIGRO,CORREGIMIENTO_EL EMPALME,CORREGIMIENTO_EL SILENCIO,CORREGIMIENTO_EL TERIBE,CORREGIMIENTO_FINCA 30,CORREGIMIENTO_FINCA 6,CORREGIMIENTO_FINCA 60,CORREGIMIENTO_GUABITO,CORREGIMIENTO_LA GLORIA,CORREGIMIENTO_LAS DELICIAS,CORREGIMIENTO_LAS TABLAS,CORREGIMIENTO_MIRAMAR,CORREGIMIENTO_NANCE DEL RISCO,CORREGIMIENTO_PUNTA LAUREL,CORREGIMIENTO_PUNTA PEÑA,CORREGIMIENTO_PUNTA ROBALO,CORREGIMIENTO_RAMBALA,CORREGIMIENTO_TIERRA OSCURA,CORREGIMIENTO_VALLE DE AGUA ARRIBA,CORREGIMIENTO_VALLE DEL RISCO
1,1,0,1,0,0,0,346352.2773,1030527.7679,78a7066b-dd3c-495d-8030-ce63e39dd394,0.0,0.0,0.0,1087174.0340919904,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1,0,1,0,0,0,342522.3625,1028729.9374,a09e8e0c-d93a-4232-bfa8-557046d43c44,0.0,0.0,0.0,1084254.0536772686,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,37,1,16,1,0,19,349406.2891,1028416.569,c3b21f87-6851-4ca0-abc8-c23536023c8e,0.999999000001,1.1874999257812546,0.0526315761772854,40187610.83638791,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,37,1,16,1,0,19,318747.8223,1002571.7652,3572df5c-ebcc-4304-88c8-0ff27f3dff3e,0.999999000001,1.1874999257812546,0.0526315761772854,38924814.52954678,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
5,37,1,16,1,0,19,349040.0681,1019400.2416,ce924bbb-fefa-49f4-a779-050e0b5309dc,0.999999000001,1.1874999257812546,0.0526315761772854,39867492.64658655,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6,37,1,16,1,0,19,341348.2177,996896.0823,4cf4caf0-f26f-431c-9f98-e52027be079c,0.999999000001,1.1874999257812546,0.0526315761772854,38987544.60005508,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7,37,1,16,1,0,19,373637.1122,1028915.5979,e144545f-8285-4653-898f-ae470439a665,0.999999000001,1.1874999257812546,0.0526315761772854,40502276.07092508,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,37,1,16,1,0,19,359761.359,1038960.5653,4e8957e0-bbbd-4a84-bbaa-79e71eca6211,0.999999000001,1.1874999257812546,0.0526315761772854,40680945.44510012,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,37,1,16,1,0,19,350521.5616,1009386.4911,c14f6275-3489-4fea-9680-be4c08657a19,0.999999000001,1.1874999257812546,0.0526315761772854,39535092.1957434,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,37,1,16,1,0,19,378358.1898,1014622.6252,86595786-acae-4745-be57-4cf16c38ae88,0.999999000001,1.1874999257812546,0.0526315761772854,40066301.97768458,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
